validstart,mapdate,none,d0,d1,d2,d3,d4,region_east_central,region_north_central,region_northeast,region_northwest,region_south_central,region_southeast,region_southwest,climatedivisionsid_201,climatedivisionsid_202,climatedivisionsid_203,climatedivisionsid_204,climatedivisionsid_205,climatedivisionsid_206,climatedivisionsid_207,is_drought_area
2021-12-14,20211214,0.0,2524.61,4778.24,825.21,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-12-14,20211214,0.0,6015.35,8582.52,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-12-14,20211214,0.0,3506.42,5686.56,754.34,85.16,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-12-14,20211214,0.0,7545.43,14232.63,1358.43,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-12-14,20211214,0.0,5175.82,12250.35,16518.12,5894.94,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-12-14,20211214,0.0,1690.2,3104.94,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-12-14,20211214,0.0,0.0,82.17,9246.15,4136.33,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-12-07,20211207,0.0,6048.86,8549.01,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-12-07,20211207,0.0,2514.26,4788.59,825.21,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-12-07,20211207,0.0,3525.18,5667.79,754.34,85.16,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-12-07,20211207,0.0,1676.56,3118.58,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-12-07,20211207,0.0,7510.08,14267.98,1358.43,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-12-07,20211207,0.0,5210.1,12216.07,16518.12,5894.94,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-12-07,20211207,0.0,0.0,82.17,9246.15,4136.33,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-11-30,20211130,0.0,5210.1,12216.07,16518.12,5894.94,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-11-30,20211130,0.0,7510.08,14267.98,1358.43,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-11-30,20211130,0.0,6048.86,8549.01,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-11-30,20211130,0.0,3525.18,5667.79,754.34,85.16,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-11-30,20211130,0.0,0.0,82.17,9246.15,4136.33,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-11-30,20211130,0.0,1676.56,3118.58,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-11-30,20211130,0.0,2514.26,4788.59,825.21,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-11-23,20211123,0.0,2514.26,4788.59,825.21,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-11-23,20211123,0.0,0.0,82.17,9246.15,4136.33,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-11-23,20211123,0.0,7510.08,14267.98,1358.43,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-11-23,20211123,0.0,1676.56,3118.58,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-11-23,20211123,0.0,3525.18,5667.79,754.34,85.16,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-11-23,20211123,0.0,6048.86,8549.01,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-11-23,20211123,0.0,5210.1,12216.07,16518.12,5894.94,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-11-16,20211116,0.0,7510.08,14267.98,1358.43,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-11-16,20211116,0.0,1676.56,3118.58,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-11-16,20211116,0.0,3525.18,5667.79,754.34,85.16,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-11-16,20211116,0.0,5210.1,12216.07,16518.12,5894.94,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-11-16,20211116,0.0,2514.26,4788.59,825.21,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-11-16,20211116,0.0,0.0,82.17,9246.15,4136.33,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-11-16,20211116,0.0,6048.86,8549.01,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-11-09,20211109,0.0,7510.08,14267.98,1358.43,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-11-09,20211109,0.0,2514.26,4788.59,825.21,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-11-09,20211109,0.0,0.0,82.17,9246.15,4136.33,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-11-09,20211109,0.0,1676.56,3118.58,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-11-09,20211109,0.0,3525.18,5667.79,754.34,85.16,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-11-09,20211109,0.0,6048.86,8549.01,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-11-09,20211109,0.0,5210.1,12216.07,16518.12,5894.94,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-11-02,20211102,0.0,6048.86,8549.01,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-11-02,20211102,0.0,1676.56,3118.58,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-11-02,20211102,0.0,5210.1,12216.07,16518.12,5894.94,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-11-02,20211102,0.0,2514.26,4788.59,825.21,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-11-02,20211102,0.0,0.0,82.17,9246.15,4136.33,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-11-02,20211102,0.0,3525.18,5667.79,754.34,85.16,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-11-02,20211102,0.0,7510.08,14267.98,1358.43,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-10-26,20211026,0.0,3526.47,5666.5,754.34,85.16,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-10-26,20211026,0.0,5206.52,12219.65,16518.12,5894.94,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-10-26,20211026,0.0,6048.48,8549.39,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-10-26,20211026,0.0,2516.11,4786.75,825.21,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-10-26,20211026,0.0,1678.98,3116.17,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-10-26,20211026,0.0,0.0,82.17,9246.15,4136.33,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-10-26,20211026,0.0,7506.15,14271.91,1358.43,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-10-19,20211019,0.0,5978.38,8619.49,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-10-19,20211019,0.0,1707.49,3087.65,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-10-19,20211019,0.0,2537.74,4765.11,825.21,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-10-19,20211019,0.0,7580.07,14197.99,1358.43,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-10-19,20211019,0.0,0.0,82.17,9233.79,4148.68,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-10-19,20211019,0.0,5134.84,12291.33,16422.16,5990.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-10-19,20211019,0.0,3487.27,5705.71,737.78,101.72,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-10-12,20211012,0.0,5978.38,8619.49,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2021-10-12,20211012,0.0,1707.49,3087.65,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-10-12,20211012,0.0,0.0,68.5,9247.46,4148.68,5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2021-10-12,20211012,0.0,5134.84,12030.39,16683.09,5990.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-10-12,20211012,0.0,2537.74,4783.19,807.13,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-10-12,20211012,0.0,3487.27,5657.65,785.84,101.72,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021-10-12,20211012,0.0,7580.07,14112.92,1443.5,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-10-05,20211005,0.0,955.25,3839.9,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021-10-05,20211005,0.0,2981.49,7862.69,17766.16,11228.88,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-10-05,20211005,0.0,7575.06,14114.49,1344.48,102.46,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2021-10-05,20211005,0.0,5978.38,8619.49,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
